2000s,99,Gwen Stefani & Akon,The Sweet Escape,17937.1459
2000s,100,Eminem,Without Me,17825.25423
2000s,101,Rihanna,Don't Stop The Music,17783.23279
2000s,102,50 Cent & Olivia,Candy Shop,17713.75722
2000s,103,"Christina Aguilera & Lil' Kim & Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),17700.97183
2000s,104,Pink,Get The Party Started,17654.3597
2000s,105,Uncle Kracker,Follow Me,17644.96998
2000s,106,The Black Eyed Peas,Where Is The Love?,17620.58192
2000s,107,Lenny Kravitz,Again,17522.56705
2000s,108,Blu Cantrell,Hit 'em Up Style (Oops!),17422.23796
2000s,109,Fat Joe & Ashanti,What's Luv?,17412.48663
2000s,110,Creed,Higher,17298.9653
2000s,111,Katy Perry,Hot 'n' cold,17298.82977
2000s,112,Mya,Case Of The Ex (Whatcha Gonna Do),17272.18836
2000s,113,Janet Jackson,All For You,17256.19859
2000s,114,Usher,U Remind Me,17219.32602
2000s,115,Ja Rule & Ashanti,Always On Time,16866.67545
2000s,116,Lee Ann Womack,I Hope You Dance,16765.22112
2000s,117,Lady GaGa & Colby O'Donis,Just Dance,16735.66662
2000s,118,Puddle of Mudd,Blurry,16724.98588
2000s,119,Terror Squad,Lean Back,16661.41069
2000s,120,Katy Perry,I Kissed A Girl,16653.35017
2000s,121,Chingy,Right Thurr,16574.17224
2000s,122,Akon,Smack That,16573.18494
2000s,123,J-Kwon,Tipsy,16563.23897
2000s,124,Sonique,It Feels So Good,16533.36468
2000s,125,Pink,There You Go,16517.97018
2000s,126,OutKast,Ms Jackson,16471.44452
2000s,127,Beyonce,Irreplaceable,16404.71228
2000s,128,Three Doors Down,When I'm Gone,16334.65178
2000s,129,Kylie Minogue,Can't Get You Out Of My Head,16303.76761
2000s,130,Evanescence,My Immortal,16225.67665
2000s,131,Usher & Alicia Keys,My Boo,16199.98679
2000s,132,The Killers,Mr Brightside,16158.63669
2000s,133,Destiny's Child,Lose My Breath,16151.19742
2000s,134,Marc Anthony,You Sang To Me,16071.82939
2000s,135,Nelly & City Spud,Ride Wit Me,16014.62799
2000s,136,Santana & Michelle Branch,The Game Of Love,15920.76101
2000s,137,Kevin Lyttle,Turn Me On,15905.47799
2000s,138,Nelly Furtado & Timbaland,Promiscuous,15900.00525
2000s,139,Nelly,(Hot S**t) Country Grammar,15862.91329
2000s,140,Sean Paul,Temperature,15802.49905
2000s,141,The Black Eyed Peas,Don't Phunk With My Heart,15642.82191
2000s,142,Missy 'Misdemeanor' Elliott,Work It,15634.36524
2000s,143,Rihanna,Pon de replay,15617.27052
2000s,144,Macy Gray,I Try,15615.63619
2000s,145,Madonna,Hung Up,15610.06302
2000s,146,"Nelly & P Diddy & Murphy Lee",Shake Ya Tailfeather,15599.99554
2000s,147,Crazy Town,Butterfly,15557.24269
2000s,148,Kelly Clarkson,Behind These Hazel Eyes,15534.08501
2000s,149,Carrie Underwood,Before He Cheats,15425.25182
2000s,150,Pink,So What,15406.45587
2000s,151,Jagged Edge & Nelly,Where The Party At,15384.01791
2000s,152,Soulja Boy,Crank That (Soulja Boy),15311.17027
2000s,153,N Sync,"Bye - Bye - Bye",15292.32098
2000s,154,Rihanna,Disturbia,15270.71648
2000s,155,Nickelback,Rockstar,15248.25746
2000s,156,Cascada,Everytime We Touch,15100.99458
2000s,157,Janet Jackson,Doesn't Really Matter,15074.19294
2000s,158,Natasha Bedingfield,Unwritten,15059.58199
2000s,159,Nickelback,Photograph,15014.9205
2000s,160,Avril Lavigne,Girlfriend,14994.13789
2000s,161,Christina Aguilera & Beverly McClellan,Beautiful,14983.71371
2000s,162,Weezer,Beverly Hills,14926.97315
2000s,163,Justin Timberlake & T.I.,My Love,14855.15083
2000s,164,Fall Out Boy,Sugar We're Goin Down,14851.5501
2000s,165,The Pussycat Dolls & Snoop Dogg,Buttons,14848.0921
2000s,166,The Black Eyed Peas,I Gotta Feeling,14832.2329
2000s,167,DJ Sammy & Yanou,Heaven,14802.00271
2000s,168,Joe Thomas & Mystikal,Stutter,14789.37461
2000s,169,Ludacris & Shaunna,Stand Up,14709.15907
2000s,170,Usher,Confessions Part II,14687.12984
2000s,171,City High,What Would You Do?,14639.27709
2000s,172,Jennifer Lopez,Love Don't Cost A Thing,14592.12627
2000s,173,Will Smith,Switch,14535.34134
2000s,174,Savage Garden,I Knew I Loved You,14516.7243
2000s,175,Busta Rhymes & Mariah Carey,I Know What You Want,14392.26675
2000s,176,Eamon,F**k it (I Don't Want You Back),14388.81331
2000s,177,Chamillionaire & Krayzie Bone,Ridin',14384.66665
2000s,178,Sisqo,Incomplete,14375.73915
2000s,179,Incubus,Drive,14360.97373
2000s,180,Duffy,Mercy,14293.05229
2000s,181,Kanye West,Stronger,14286.17943
2000s,182,Destiny's Child,Survivor,14284.78074
2000s,183,N Sync,It's Gonna Be Me,14272.79652
2000s,184,Timbaland & Nelly Furtado & Justin Timberlake,Give It To Me,14248.5569
2000s,185,Jennifer Lopez & LL Cool J,All I Have,14229.92093
2000s,186,Christina Aguilera,What A Girl Wants,14227.3229
2000s,187,50 Cent,PIMP,14225.7318
2000s,188,Enya,Only Time,14209.73137
2000s,189,Mary J Blige,Be Without You,14170.49694
2000s,190,The Game & 50 Cent,How We Do,14163.01237
2000s,191,Nelly & Tim McGraw,Over & Over,14143.90824
2000s,192,Craig David,Fill Me In,14050.93565
2000s,193,Linkin Park,Numb,14041.23285
2000s,194,Rob Thomas,Lonely No More,13981.57257
2000s,195,Pink,Most Girls,13977.65559
2000s,196,Christina Milian & Samy Deluxe,Dip It Low,13895.5506
2000s,197,Jennifer Lopez,Jenny From The Block,13877.52826
2000s,198,Aaliyah,Miss You,13863.29184
2000s,199,B2K & P Diddy,Bump Bump Bump,13833.24843
2000s,200,Beyonce & Slim Thug,Check On It,13816.65044
